id,titulo,autores,ano,link,texto
,"Feminismo, Decolonialidade, Patriarcado e Interseccionalidade: Uma Análise Crítica",['Ana Carolina Oliveira Carlos'],,https://doi.org/10.51473/rcmos.v1i2.2025.1890,
,Intersectionality Is the New Sara Baartman: A Historical and Theoretical Analysis of Intersectionality Personified,['Lashawn Washington'],2022,https://doi.org/10.3102/1889023,
,Quantitative Approaches to Intersectionality: New Methodological Directions and Implications for Policy Analysis,"['Joshua K. Dubrow', 'Corina Ilinca']",2019,https://doi.org/10.1007/978-3-319-98473-5_8,
,Why Should We Account for Intersectionality in Quantitative Analysis of Survey Data?,['Joshua Dubrow'],2013,https://doi.org/10.1007/978-3-531-93168-5_8,
,An Intersectional Response to the Intersectionality of Trauma,"['Suryia Nayak', 'Farideh Dizadji']",2024,https://doi.org/10.4324/9781003232216-6,
,Intersectionality Theory and the Analysis of Power,[],2016,https://doi.org/10.4324/9781315547268-19,
,Intersectionality analysis in the sentencing of Aboriginal women in Canada: What difference does it make?,[],2008,https://doi.org/10.4324/9780203890882-13,
,Intersectional Analysis at the Medico-Legal Borderland,['Daniel Grace'],,https://doi.org/10.1057/9781137025135.0011,
,Exploring Intersectionality as a Policy Tool for Gender Based Policy Analysis: Implications for Language and Health Literacy as Key Determinants of Integration,"['Nancy Clark', 'Bilkis Vissandjée']",2019,https://doi.org/10.1007/978-3-319-98473-5_28,
,Canadian Impact Assessment: Gender-Based Analysis Plus and Intersectionality in Natural Resource Policy,['Stephanie Siddon'],,https://doi.org/10.22215/etd/2022-15259,
,A Preliminary Framework for Intersectionality in ML Pipelines,"['Michelle Nashla Turcios', 'Alicia E. Boyd', 'Angela D. R. Smith', 'Brittany Johnson']",2025,http://arxiv.org/abs/2505.08792v1,
,Equity in College Physics Student Learning: a Critical Quantitative Intersectionality Investigation,"['Ben Van Dusen', 'Jayson Nissen']",2018,http://arxiv.org/abs/1805.04788v3,
,Towards semi-classical analysis for sub-elliptic operators,['Veronique Fischer'],2021,http://arxiv.org/abs/2111.09854v1,
,D0 Regional Analysis Center Concepts,"['L. Lueking', 'representing the D0 Remote Analysis Task Force']",2003,http://arxiv.org/abs/cs/0306115v1,
,A Tutorial On Intersectionality in Fair Rankings,"['Chiara Criscuolo', 'Davide Martinenghi', 'Giuseppe Piccirillo']",2025,http://arxiv.org/abs/2502.05333v1,
,Intersectionality and Testimonial Injustice in Medical Records,"['Kenya S. Andrews', 'Bhuvani Shah', 'Lu Cheng']",2023,http://arxiv.org/abs/2306.13675v1,
,The Intersectionality Problem for Algorithmic Fairness,"['Johannes Himmelreich', 'Arbie Hsu', 'Kristian Lum', 'Ellen Veomett']",2024,http://arxiv.org/abs/2411.02569v2,
,Causal intersectionality for fair ranking,"['Ke Yang', 'Joshua R. Loftus', 'Julia Stoyanovich']",2020,http://arxiv.org/abs/2006.08688v1,
,OSIRIS-REx Sample Analysis Plan -- Revision 3.0,"['Dante S. Lauretta', 'Harold C. Connolly', 'Jeffrey N. Grossman', 'Anjani T. Polit', 'the OSIRIS-REx Sample Analysis Team']",2023,http://arxiv.org/abs/2308.11794v1,
,Asymptotic analysis and diffusion limit of the Persistent Turning Walker Model,"['Patrick Cattiaux', 'Djalil Chafai', 'Sébastien Motsch']",2008,http://arxiv.org/abs/0811.0600v2,
,Education and Women Empowerment in India,['Pawan Saini'],,https://doi.org/10.29070/15/57678,
,Women Empowerment through Education in Nurpur Shahan,[],2016,https://doi.org/10.21275/v5i1.nov153175,
