id,titulo,autores,ano,link,texto
1,Identification of Unknown Parameters and Orders via Cuckoo Search Oriented Statistically by Differential Evolution for Noncommensurate Fractional-Order Chaotic Systems,"Fei Gao, Xue-Jing Lee, Heng-qing Tong, Feng-xia Fei, Hua-ling Zhao",2013,https://doi.org/10.1155/2013/382834,
2,A realist evaluation of the implementation of a national tobacco control programme and policy in India,"Pragati B Hebbar, Vivek Dsouza, Gera E Nagelhout, Sara van Belle, Nuggehalli Srinivas Prashanth",2025,https://doi.org/10.1093/heapol/czae081,
3,La religión IA,Juan José Gómez Cadenas,,https://doi.org/10.7203/eutopias.30.32557,
4,IA na publicidade ou publicidade na IA?,Rita Dinis Delgado,,https://doi.org/10.11606/issn.1984-5057.v17i2e244076,
5,Abstract IA-19: Deconstructing metastasis,Joan Massagué,2009,https://doi.org/10.1158/0008-5472.fbcr09-ia-19,
6,"Nueva genética y gen-IA, ¿el status processualis civis IA?",José Sánchez Hernández,,https://doi.org/10.12795/iestscientia.2025.i01.12,
7,EVIDENCE FOR THE PRESENCE OF AN Ia MOLECULE DETERMINED BY EACH OF THE Ia-3 and Ia-5 LOCI,"T.L. Delovitch, D.B. Murphy, H.O. McDevitt",1978,https://doi.org/10.1016/b978-0-12-483260-2.50008-2,
8,Abstract IA-01: Targeting autophagy in pancreatic cancer,Joseph D. Mancias,2024,https://doi.org/10.1158/1538-7445.pancreatic24-ia-01,
9,Abstract IA-05: Targeting KRAS for pancreatic cancer treatment,Channing J. Der,2024,https://doi.org/10.1158/1538-7445.pancreatic24-ia-05,
10,Sem título,,,https://doi.org/10.29057/ia.v13i25,
11,Encuentro de ideas para el desarrollo del mercado de vivienda: Presentación Banco Agrícola,,2007,https://doi.org/10.18235/0007066,
12,Annual Accounts of the Banco de España 2024,,,https://doi.org/10.53479/39439,
13,Banco Interamericano de Desarrollo informe sobre sostenibilidad 2011,,2012,https://doi.org/10.18235/0005816,
14,Banco Interamericano de Desenvolvimento relatório anual 2007,,,https://doi.org/10.18235/0005838,
15,Banco Interamericano de Desarrollo informe anual 1971,,1972,https://doi.org/10.18235/0003158,
16,Annual Accounts of the Banco de España 2023,,,https://doi.org/10.53479/36637,
17,Annual Accounts of the Banco de España 2025,,,https://doi.org/10.53479/42785,
18,Annual Accounts of the Banco de España 2022,,,https://doi.org/10.53479/29690,
19,Banco Interamericano de Desarrollo informe sobre sostenibilidad 2010,,2011,https://doi.org/10.18235/0005804,
20,Banco Interamericano de Desarrollo informe sobre sostenibilidad 2007,,2008,https://doi.org/10.18235/0005809,
21,Intake of Nutrient and Non-Nutrient Dietary Antioxidants. Contribution of Macromolecular Antioxidant Polyphenols in an Elderly Mediterranean Population,"Isabel Goñi, Ana Hernández-Galiot",,https://doi.org/10.3390/nu11092165,
22,Type Ia Supernova Models and Progenitor Scenarios,"Ken'ichi Nomoto, Yasuomi Kamiya, Naohito Nakasato",2013,http://arxiv.org/abs/1302.3371v2,
23,ZTF SN Ia DR2: Overview,"Mickael Rigault, Mathew Smith, Ariel Goobar, Kate Maguire, Georgios Dimitriadis, Umut Burgaz, Suhail Dhawan, Jesper Sollerman, Nicolas Regnault, Marek Kowalski, Melissa Amenouche, Marie Aubert, Chloé Barjou-Delayre, Julian Bautista, Josh S. Bloom, Bastien Carreres, Tracy X. Chen, Yannick Copin, Maxime Deckers, Dominique Fouchez, Christoffer Fremling, Lluis Galbany, Madeleine Ginolin, Matthew Graham, Mancy M. Kasliwal, W. D'Arcy Kenworthy, Young-Lo Kim, Dylan Kuhn, Frank F. Masci, Tomas Müller-Bravo, Adam Miller, Joel Johansson, Jakob Nordin, Peter Nugent, Igor Andreoni, Eric Bellm, Marc Betoule, Mahmoud Osman, Dan Perley, Brodie Popovic, Philippe Rosnet, Damiano Rosselli, Florian Ruppin, Robert Senzel, Ben Rusholme, Tassilo Schweyer, Jacco H. Terwel, Alice Townsend, Andy Tzanidakis, Avery Wold, Josiah Purdum, Yu-Jing Qin, Benjamin Racine, Simeon Reusch, Reed Riddle, Lin Yan",2024,http://arxiv.org/abs/2409.04346v2,
24,ZTF SN Ia DR2: An environmental study of Type Ia supernovae using host galaxy image decomposition,"R. Senzel, K. Maguire, U. Burgaz, G. Dimitriadis, M. Rigault, A. Goobar, J. Johansson, M. Smith, M. Deckers, L. Galbany, M. Ginolin, L. Harvey, Y. -L. Kim, T. E. Muller-Bravo, P. Nugent, P. Rosnet, J. Sollerman, J. H. Terwel, R. R. Laher, D. Reiley, B. Rusholme",2024,http://arxiv.org/abs/2411.11986v1,
25,The Progenitors of Type Ia Supernovae,M. Livio,1999,http://arxiv.org/abs/astro-ph/9903264v1,
26,ZTF SNe Ia DR2: Towards cosmology-grade ZTF supernova light curves using scene modeling photometry,"L. Lacroix, N. Regnault, T. de Jaeger, M. Le Jeune, M. Betoule, J. -M. Colley, M. Bernard, M. Rigault, M. Smith, A. Goobar, K. Maguire, G. Dimitriadis, J. Nordin, J. Johansson, M. Aubert, C. Barjou, E. C. Bellm, S. Bongard, U. Burgaz, B. Carreres, D. Fouchez, F. Feinstein, L. Galbany, M. Ginolin, M. Graham, D. Kuhn, R. R. Laher, T. E. Müller-Bravo, J. Neveu, M. Osman, B. Popovic, B. Racine, P. Rosnet, D. Rosselli, R. Smith, J. Sollerman, J. H. Terwel, A. Townsend, A. Wold",2025,http://arxiv.org/abs/2509.04073v1,
27,Type Ia Supernovae and Their Cosmological Implications,"A. V. Filippenko, A. G. Riess",1999,http://arxiv.org/abs/astro-ph/9905049v1,
28,"Type Ia Supernova Progenitors, Environmental Effects, and Cosmic Supernova Rates","Ken'ichi Nomoto, Hideyuki Umeda, Izumi Hachisu, Mariko Kato, Chiaki Kobayashi, Takuji Tsujimoto",1999,http://arxiv.org/abs/astro-ph/9907386v1,
29,He-accreting WDs as SNe Ia Progenitors,"Luciano Piersanti, Amedeo Tornambe', Lev Yungelson, Oscar Straniero",2011,http://arxiv.org/abs/1109.4786v1,
30,Novae and accreting white dwarfs as progenitors of Type Ia supernovae,Mariko Kato,2011,http://arxiv.org/abs/1110.0055v1,
31,Why Supersoft X-ray Fluxes are So Weak in Early-type Galaxies? -- A Clue to Type Ia SN Progenitors --,Mariko Kato,2011,http://arxiv.org/abs/1110.0056v1,
32,Machine learning with sklearn,Thomas P. Trappenberg,2019,https://doi.org/10.1093/oso/9780198828044.003.0003,
33,Optimization and Machine Learning,,2022,https://doi.org/10.1002/9781119902881,
34,Why Use Automated Machine Learning?,"Kai R. Larsen, Daniel S. Becker",2021,https://doi.org/10.1093/oso/9780190941659.003.0001,
35,Machine learning,,2011,https://doi.org/10.1017/cbo9780511975509.007,
36,Machine Learning and Qualitative Reasoning,Ivan Bratko,1994,https://doi.org/10.1023/a:1022661713654,
37,Editorial: Human and Machine Learning,Pat Langley,1986,https://doi.org/10.1023/a:1022854429410,
38,Machine learning,,2012,https://doi.org/10.1017/cbo9780511804779.017,
39,Machine Learning and Grammar Induction,Pat Langely,1987,https://doi.org/10.1023/a:1022808826027,
40,Front Matter,,2022,https://doi.org/10.1002/9781119902881.fmatter,
41,Machine Learning: A Maturing Field,Jaime Carbonell,1992,https://doi.org/10.1023/a:1022665512030,
1578,Language Processing for Speech Recognition,,1990,https://doi.org/10.1016/b978-0-08-051584-7.50044-9,
